,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
80,sotu,16000,114,186,50,50,female,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,sotu,16000,701,268,50,50,female,44.0,0.983,0.001,0.0,0.0,0.0,0.983,0.011,0.004,0.0
82,sotu,16000,295,82,49,49,female,26.0,0.004,0.0,0.0,0.0,0.0,0.004,0.995,0.0,0.0
83,sotu,16000,704,16,49,49,female,38.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,sotu,16000,248,567,48,48,female,42.0,0.971,0.001,0.0,0.0,0.002,0.971,0.014,0.012,0.0
85,sotu,16000,314,208,48,48,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
86,sotu,16000,248,428,48,48,female,37.0,0.693,0.007,0.0,0.001,0.003,0.693,0.094,0.006,0.196
87,sotu,16000,529,103,47,47,female,37.0,0.107,0.0,0.001,0.0,0.0,0.107,0.749,0.001,0.142
88,sotu,16000,848,40,47,47,female,32.0,0.999,0.0,0.0,0.0,0.0,0.999,0.0,0.001,0.0
89,sotu,16000,428,536,47,47,female,42.0,0.029,0.0,0.0,0.0,0.0,0.029,0.952,0.011,0.007
90,sotu,16000,718,165,46,46,female,33.0,0.982,0.0,0.001,0.0,0.0,0.982,0.01,0.007,0.0
91,sotu,17000,578,116,137,137,male,16.0,0.0,0.072,0.004,0.006,0.0,0.0,0.911,0.007,0.0
92,sotu,17000,248,217,117,117,male,58.0,0.0,0.0,0.001,0.0,0.0,0.0,0.99,0.009,0.0
93,sotu,17000,904,256,107,107,female,56.0,0.113,0.008,0.185,0.013,0.023,0.113,0.591,0.026,0.041
94,sotu,18000,542,137,143,143,male,59.0,0.0,0.0,0.001,0.0,0.0,0.0,0.441,0.557,0.0
95,sotu,18000,258,239,123,123,male,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.004,0.0
96,sotu,18000,946,274,117,117,female,57.0,0.006,0.0,0.113,0.0,0.0,0.006,0.874,0.006,0.0
97,sotu,19000,553,138,143,143,male,67.0,0.0,0.03,0.001,0.001,0.0,0.0,0.955,0.004,0.008
98,sotu,19000,214,233,120,120,male,61.0,0.001,0.0,0.002,0.0,0.0,0.001,0.996,0.0,0.0
99,sotu,19000,916,264,114,114,female,56.0,0.013,0.0,0.003,0.0,0.0,0.013,0.981,0.004,0.0
100,sotu,20000,540,126,155,155,male,68.0,0.001,0.001,0.007,0.001,0.004,0.001,0.864,0.019,0.103
101,sotu,20000,209,224,122,122,male,58.0,0.0,0.0,0.002,0.0,0.0,0.0,0.997,0.001,0.0
102,sotu,20000,933,254,116,116,female,56.0,0.011,0.0,0.063,0.0,0.0,0.011,0.765,0.161,0.0
103,sotu,21000,552,127,140,140,male,52.0,0.001,0.023,0.002,0.007,0.0,0.001,0.961,0.004,0.001
104,sotu,21000,169,232,126,126,male,60.0,0.0,0.001,0.005,0.0,0.0,0.0,0.976,0.018,0.0
105,sotu,21000,876,267,116,116,female,45.0,0.002,0.003,0.002,0.003,0.022,0.002,0.756,0.023,0.19
106,sotu,22000,793,329,151,151,male,43.0,0.059,0.0,0.001,0.0,0.0,0.059,0.938,0.002,0.0
107,sotu,22000,678,326,136,136,male,38.0,0.001,0.0,0.0,0.0,0.0,0.001,0.998,0.0,0.0
108,sotu,22000,1060,250,126,126,male,42.0,0.011,0.0,0.001,0.0,0.0,0.011,0.987,0.0,0.0
109,sotu,22000,294,48,126,126,male,71.0,0.001,0.002,0.0,0.0,0.001,0.001,0.953,0.001,0.043
110,sotu,22000,93,0,127,110,female,37.0,0.001,0.0,0.007,0.0,0.0,0.001,0.979,0.009,0.003
111,sotu,22000,793,119,111,111,male,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,sotu,23000,607,110,138,138,male,67.0,0.0,0.0,0.0,0.0,0.001,0.0,0.963,0.035,0.002
113,sotu,23000,874,244,122,122,female,32.0,0.001,0.001,0.001,0.0,0.006,0.001,0.955,0.033,0.003
114,sotu,23000,219,216,116,116,male,58.0,0.034,0.001,0.025,0.008,0.0,0.034,0.296,0.637,0.0
115,sotu,24000,576,116,141,141,male,66.0,0.001,0.005,0.002,0.004,0.001,0.001,0.931,0.054,0.002
116,sotu,24000,244,211,116,116,male,61.0,0.002,0.0,0.002,0.0,0.0,0.002,0.994,0.001,0.0
